YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1982,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1983,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,15.9,10.4,5.2,2.2,999.9,999.9,999.9,10.5,999.9
1984,1.8,1.5,3.5,8.3,10.4,16.1,19.6,18.4,13.9,10.6,6.4,2.8,1.8,7.4,18,10.3,9.39
1985,-3.4,0.2,3.8,9.4,12.4,15.3,20.3,18.2,16.4,11.2,2.9,2.7,-0.1,8.5,17.9,10.2,9.12
1986,1.5,-1.8,4.7,6.9,15.4,17.2,19.8,18.4,15.5,11.8,5,2.3,0.8,9,18.5,10.8,9.76
1987,-1.9,2.4,3.6,9.9,11.1,15.3,19.4,18.8,17.5,11.6,6.2,3.3,0.9,8.2,17.8,11.8,9.68
1988,4.3,2.7,5.5,10.1,14.4,16.9,19.3,19.5,15,11.6,4.7,2.9,3.4,10,18.6,10.4,10.61
1989,1.5,3.1,8,8.1,15.2,17.3,21,19.9,15.7,11.2,4.3,3.9,2.5,10.4,19.4,10.4,10.68
1990,1.6,6.8,7.7,8.4,15.8,16.6,20,20.3,15.3,12.1,5.7,1.3,4.1,10.6,19,11,11.18
1991,2.6,0.1,7.7,8.3,11.4,16.6,21.1,21.1,17.6,9.6,5.7,1.5,1.3,9.1,19.6,11,10.26
1992,0.3,2.9,6.7,9.7,15.6,16.5,20.1,21.8,15.4,9.3,7.3,2.5,1.6,10.7,19.5,10.7,10.59
1993,3.5,0.7,5.1,10.3,14.7,17.8,18.6,19.6,13.7,9,3.8,4.5,2.2,10,18.7,8.8,9.94
1994,3.3,3.8,9.7,8,14.7,17.9,22.6,20.9,14.7,10.9,8.6,4.7,3.9,10.8,20.5,11.4,11.63
1995,1.7,5.8,4.9,9.9,13.6,16.1,22,19.3,13.1,13.8,5.5,2.3,4.1,9.5,19.1,10.8,10.87
1996,2.7,1.4,4.4,9.7,13.7,18.4,18.6,18,12.3,10.3,5.5,2.2,2.1,9.3,18.3,9.4,9.78
1997,0.5,5,7.6,9.3,14.4,16.7,18.2,20.6,16.3,10.5,6,3.5,2.6,10.4,18.5,10.9,10.61
